종목코드,날짜,기간수익률,표준편차,Y3,그룹,성과
000040,2015-12-31,-0.4114219991169817,0.022888055915330136,-0.24497884394341182,G1,-18.611834260309976
000050,2015-12-31,-0.23108305516836047,0.021707867710957722,0.025178504801560284,G2,-11.31616253420465
000070,2015-12-31,-0.3601644886903378,0.02439887382638198,0.0434299748992826,G3,-15.358544639261142
000100,2015-12-31,-0.2559772662847929,0.022605287740246463,0.0924138912656854,G4,-11.968171938947119
000120,2015-12-31,-0.11582055967781552,0.017985247048289525,0.020653497402648536,G2,-7.249678775475374
000140,2015-12-31,-0.17137101424921858,0.018514584634529024,0.040234494937947916,G3,-10.042770174940987
000150,2015-12-31,0.2509399323232443,0.024655285651812714,-0.20263355682561313,G1,9.58712186674728
000180,2015-12-31,0.13919079141564822,0.03614602872023979,0.007964916725476827,G2,3.447794728996478
000210,2015-12-31,0.2869057978761479,0.02188329494164507,0.045147629598839736,G3,12.445068006556088
000220,2015-12-31,-0.3562923886376674,0.028873229865626154,-0.10299975612515219,G1,-12.844392348326389
000230,2015-12-31,-0.2599975319948019,0.02532430704049263,0.06094811493236043,G3,-10.841924940952344
000250,2015-12-31,0.361607621738951,0.025534713589475285,0.11583135103655207,G5,13.59094616052955
000270,2015-12-31,-0.33787392336007266,0.015059191377988628,0.10868437575542686,G4,-23.403688726279828
000300,2015-12-31,-0.11217925643793483,0.023025917084517126,-0.001622302145941894,G2,-5.504491312661346
000320,2015-12-31,-0.44875352192148377,0.016210361918270296,0.16919785390425657,G5,-28.581732374471986
000360,2015-12-31,,,0.5447125361365285,G5,
000420,2015-12-31,,,0.5120516662558031,G5,
000430,2015-12-31,-0.0832317683500319,0.015183276797245748,0.05146206268172531,G3,-6.441196704496803
000440,2015-12-31,0.15551330409007214,0.015011189517646975,0.023314925498460305,G2,9.389435780857129
000480,2015-12-31,0.016640754744851667,0.011165662201341991,0.028437023166750123,G3,0.18575258570442982
000490,2015-12-31,-0.2436498969384216,0.017196293876495666,0.015182192510235167,G2,-15.015828579855153
000500,2015-12-31,0.11586889920358921,0.014107325112678811,0.008133906277051607,G2,7.180822322772922
000520,2015-12-31,0.23148578633743708,0.022572645787638228,0.01081357526999582,G2,9.609820853893048
000590,2015-12-31,0.09104918415183921,0.013837635613563087,0.12040753556447353,G5,5.527134993858635
000640,2015-12-31,-0.19541772346266503,0.02834363979118696,0.11053816499547046,G4,-7.4085201875803826
000660,2015-12-31,0.6145081525254504,0.020666060995964703,0.20215331211584525,G5,29.030275702890165
000670,2015-12-31,0.037166109022752164,0.018188868573798804,0.029945683367546765,G3,1.2424854691322906
000680,2015-12-31,-0.15216131526076418,0.01265610181506877,-0.10981156644850076,G1,-13.173726145447288
000700,2015-12-31,-0.0176372381042324,0.032145141494656755,0.17773820767416304,G5,-1.0018292260258241
000720,2015-12-31,0.4542805340114754,0.02443019847071919,0.08981335576170826,G4,17.998782548518555
000760,2015-12-31,0.2904800178710302,0.030461149083467594,0.03881991661825407,G3,9.057876083241014
000800,2015-12-31,,,0.7327002033772745,G5,
000850,2015-12-31,-0.04125448247434198,0.011245074277044376,0.06070630298188597,G3,-4.9640567255429495
000860,2015-12-31,-0.07101973308087604,0.013664949991150605,0.09253402066049234,G4,-6.263208958404665
000880,2015-12-31,-0.03306377242167233,0.0198303371084324,0.008831741887863884,G2,-2.401899487692962
000890,2015-12-31,-0.4058880824974639,0.029398345696403014,0.08535561937805826,G4,-14.301987974403543
