종목코드,날짜,Y5,그룹,기간수익률,표준편차,성과
000020,2024-09-30,0.008743642698143197,G1,-0.20144025249574699,0.014849921022576781,-15.440231627433691
000040,2024-09-30,0.17068887984577238,G4,-0.187606083286796,0.027168681529526374,-7.930162190409666
000050,2024-09-30,0.06920253211343064,G3,0.05258114037885091,0.023011330898780574,1.0749127351963033
000070,2024-09-30,0.03681501807846677,G2,-0.1670232578217741,0.014221003261139368,-13.702916874804014
000080,2024-09-30,0.07643796081275041,G3,-0.03513565959396849,0.014765793583959954,-4.265373681257521
000100,2024-09-30,0.08313569763821756,G3,-0.14649819131727457,0.031787340044516194,-5.484704250656137
000120,2024-09-30,0.028175496205349024,G2,-0.08625066916178152,0.019795500788271705,-5.763766126660263
000140,2024-09-30,0.06963980678780346,G3,-0.023967132418302502,0.011766016288517192,-4.403623018166645
000180,2024-09-30,0.09296100498003645,G3,-0.18830897673229183,0.018469261995707607,-11.70349657308794
000210,2024-09-30,0.021457031128317768,G1,-0.3141507073085144,0.0223227373693956,-15.320552734689528
000220,2024-09-30,0.10541629218297469,G3,-0.00691204110110041,0.021605418008822506,-1.6087635438871193
000230,2024-09-30,0.08674849421664636,G3,0.0395934768571204,0.03762831398098965,0.3121986576682637
000250,2024-09-30,0.0003417365549193166,G1,0.1579854530598694,0.0587158182456796,2.2164297323321356
000270,2024-09-30,0.12186538421727974,G4,0.021797862738855478,0.021566105275995954,-0.2804449354984743
000300,2024-09-30,0.8398343784841158,G5,,,
000390,2024-09-30,0.016004961887463816,G1,-0.10214898120804158,0.025076982672948937,-5.183835337981283
000430,2024-09-30,0.03713242847350892,G2,-0.05280039393870099,0.015310999135307075,-5.2672174407394765
000440,2024-09-30,0.025123687201730766,G1,-0.18905644971500501,0.05216676522576252,-4.157865961560971
000480,2024-09-30,0.06645734638530805,G3,-0.0015596801786881963,0.008027746512698426,-3.6630015501995876
000490,2024-09-30,0.10327470990931205,G3,0.09452483397625751,0.04198467198728813,1.5881716607077618
000500,2024-09-30,0.02678257461627995,G2,0.4498296414590992,0.05801071107809688,7.274237220589633
000520,2024-09-30,6.0980635825444645e-05,G1,-0.13498980869680471,0.045495777641199275,-3.5791404143685237
000590,2024-09-30,0.20401274809533881,G4,0.0278497935253883,0.01205946313472135,0.0003172432644878064
000640,2024-09-30,0.0899342342219365,G3,-0.049686384827820736,0.023442885831276614,-3.30728704340297
000660,2024-09-30,0.39146110448891996,G5,0.021845599928926526,0.029364194588999176,-0.2043430067466208
000670,2024-09-30,0.033590604804137066,G2,0.1686517481486854,0.04576353887277995,3.076811450228576
000680,2024-09-30,0.023176330543241915,G1,-0.19546133943324584,0.028663285779652208,-7.79070860514202
000700,2024-09-30,0.041143629541316624,G2,0.049737484105833896,0.007488244189121286,2.9234511870889324
000760,2024-09-30,0.04560523036055997,G2,-0.19476455490629496,0.021253914733890003,-10.473859777618816
